id,age,tolerance,male,exposure
9,11,2.23,0,1.54
9,12,1.79,0,1.54
9,13,1.9000000000000001,0,1.54
9,14,2.12,0,1.54
9,15,2.66,0,1.54
45,11,1.12,1,1.16
45,12,1.45,1,1.16
45,13,1.45,1,1.16
45,14,1.45,1,1.16
45,15,1.99,1,1.16
268,11,1.45,1,0.9
268,12,1.34,1,0.9
268,13,1.99,1,0.9
268,14,1.79,1,0.9
268,15,1.34,1,0.9
314,11,1.22,0,0.81
314,12,1.22,0,0.81
314,13,1.55,0,0.81
314,14,1.12,0,0.81
314,15,1.12,0,0.81
442,11,1.45,0,1.1300000000000001
442,12,1.99,0,1.1300000000000001
442,13,1.45,0,1.1300000000000001
442,14,1.67,0,1.1300000000000001
442,15,1.9000000000000001,0,1.1300000000000001
514,11,1.34,1,0.9
514,12,1.67,1,0.9
514,13,2.23,1,0.9
514,14,2.12,1,0.9
514,15,2.44,1,0.9
569,11,1.79,0,1.99
569,12,1.9000000000000001,0,1.99
569,13,1.9000000000000001,0,1.99
569,14,1.99,0,1.99
569,15,1.99,0,1.99
624,11,1.12,1,0.98
624,12,1.12,1,0.98
624,13,1.22,1,0.98
624,14,1.12,1,0.98
624,15,1.22,1,0.98
723,11,1.22,0,0.81
723,12,1.34,0,0.81
723,13,1.12,0,0.81
723,14,1,0,0.81
723,15,1.12,0,0.81
918,11,1,0,1.21
918,12,1,0,1.21
918,13,1.22,0,1.21
918,14,1.99,0,1.21
918,15,1.22,0,1.21
949,11,1.99,1,0.93
949,12,1.55,1,0.93
949,13,1.12,1,0.93
949,14,1.45,1,0.93
949,15,1.55,1,0.93
978,11,1.22,1,1.59
978,12,1.34,1,1.59
978,13,2.12,1,1.59
978,14,3.46,1,1.59
978,15,3.3200000000000003,1,1.59
1105,11,1.34,1,1.3800000000000001
1105,12,1.9000000000000001,1,1.3800000000000001
1105,13,1.99,1,1.3800000000000001
1105,14,1.9000000000000001,1,1.3800000000000001
1105,15,2.12,1,1.3800000000000001
1542,11,1.22,0,1.44
1542,12,1.22,0,1.44
1542,13,1.99,0,1.44
1542,14,1.79,0,1.44
1542,15,2.12,0,1.44
1552,11,1,0,1.04
1552,12,1.12,0,1.04
1552,13,2.23,0,1.04
1552,14,1.55,0,1.04
1552,15,1.55,0,1.04
1653,11,1.11,0,1.25
1653,12,1.11,0,1.25
1653,13,1.34,0,1.25
1653,14,1.55,0,1.25
1653,15,2.12,0,1.25
