id,wave,time,opposites_naming_score,baseline_cognitive_score
1,1,0,205,137
1,2,1,217,137
1,3,2,268,137
1,4,3,302,137
2,1,0,219,123
2,2,1,243,123
2,3,2,279,123
2,4,3,302,123
3,1,0,142,129
3,2,1,212,129
3,3,2,250,129
3,4,3,289,129
4,1,0,206,125
4,2,1,230,125
4,3,2,248,125
4,4,3,273,125
5,1,0,190,81
5,2,1,220,81
5,3,2,229,81
5,4,3,220,81
6,1,0,165,110
6,2,1,205,110
6,3,2,207,110
6,4,3,263,110
7,1,0,170,99
7,2,1,182,99
7,3,2,214,99
7,4,3,268,99
8,1,0,96,113
8,2,1,131,113
8,3,2,159,113
8,4,3,213,113
9,1,0,138,104
9,2,1,156,104
9,3,2,197,104
9,4,3,200,104
10,1,0,216,96
10,2,1,252,96
10,3,2,274,96
10,4,3,298,96
11,1,0,180,125
11,2,1,225,125
11,3,2,215,125
11,4,3,249,125
12,1,0,97,115
12,2,1,136,115
12,3,2,168,115
12,4,3,222,115
13,1,0,145,109
13,2,1,161,109
13,3,2,151,109
13,4,3,177,109
14,1,0,195,95
14,2,1,184,95
14,3,2,209,95
14,4,3,213,95
15,1,0,162,118
15,2,1,138,118
15,3,2,204,118
15,4,3,195,118
16,1,0,119,120
16,2,1,148,120
16,3,2,164,120
16,4,3,208,120
17,1,0,144,118
17,2,1,166,118
17,3,2,236,118
17,4,3,261,118
18,1,0,107,115
18,2,1,165,115
18,3,2,193,115
18,4,3,262,115
19,1,0,167,120
19,2,1,201,120
19,3,2,233,120
19,4,3,216,120
20,1,0,156,118
20,2,1,156,118
20,3,2,197,118
20,4,3,246,118
21,1,0,165,126
21,2,1,228,126
21,3,2,279,126
21,4,3,290,126
22,1,0,197,121
22,2,1,181,121
22,3,2,185,121
22,4,3,217,121
23,1,0,206,108
23,2,1,209,108
23,3,2,230,108
23,4,3,255,108
24,1,0,182,104
24,2,1,196,104
24,3,2,217,104
24,4,3,199,104
25,1,0,174,118
25,2,1,198,118
25,3,2,229,118
25,4,3,236,118
26,1,0,199,104
26,2,1,238,104
26,3,2,253,104
26,4,3,282,104
27,1,0,160,124
27,2,1,178,124
27,3,2,189,124
27,4,3,229,124
28,1,0,184,130
28,2,1,231,130
28,3,2,260,130
28,4,3,292,130
29,1,0,174,87
29,2,1,194,87
29,3,2,189,87
29,4,3,188,87
30,1,0,215,131
30,2,1,226,131
30,3,2,257,131
30,4,3,310,131
31,1,0,147,109
31,2,1,188,109
31,3,2,197,109
31,4,3,232,109
32,1,0,127,115
32,2,1,172,115
32,3,2,222,115
32,4,3,273,115
33,1,0,165,104
33,2,1,217,104
33,3,2,230,104
33,4,3,286,104
34,1,0,76,110
34,2,1,139,110
34,3,2,150,110
34,4,3,214,110
35,1,0,166,110
35,2,1,197,110
35,3,2,203,110
35,4,3,233,110
