id,years,censor
111,5,0
211,6,0
311,8,1
411,9,0
511,3,0
611,6,0
711,5,0
811,5,1
911,7,0
1011,8,0
1211,5,0
1411,6,0
1511,3,1
1711,7,0
1811,7,0
1911,7,0
2011,1,0
2111,8,0
2411,7,0
2812,5,0
2912,5,0
3012,9,1
3212,8,0
3312,7,0
3412,6,0
3512,4,0
3712,7,0
3912,2,0
4012,9,0
5012,9,1
5112,9,1
5212,8,0
5322,4,0
5412,2,0
5512,9,1
5612,4,0
5712,5,0
5812,8,0
5912,6,0
6213,6,0
6313,9,1
6413,6,0
6613,7,1
6713,9,1
6813,5,0
6913,6,0
7013,6,0
7123,6,0
7313,4,0
7413,6,0
7513,6,0
7913,8,0
8113,5,0
8513,4,1
8814,9,1
8914,5,0
9114,8,0
9214,4,0
9314,5,0
9414,7,0
9544,6,0
9614,6,0
9724,6,0
9814,6,0
9914,6,0
10014,9,1
10114,4,0
10214,8,0
10314,9,1
10414,7,1
10514,8,0
10714,9,0
10814,4,1
10914,6,0
11014,6,0
11214,9,1
11425,6,0
11515,4,1
11615,7,0
11815,5,0
11915,9,1
12115,5,0
12315,5,0
12515,6,0
12715,8,0
12825,9,1
12915,9,1
13015,4,0
13215,8,1
13325,8,1
13515,8,0
13615,7,0
13715,4,0
13815,9,0
13915,5,0
14015,7,0
14115,2,0
14316,6,0
14516,5,1
14616,7,0
14716,8,1
15026,6,0
15116,8,0
15216,6,0
15316,4,0
15516,5,1
15616,6,0
15716,6,0
15826,6,0
16016,4,0
16216,9,1
16316,6,1
16416,8,1
16516,3,0
16616,5,0
16916,3,0
17126,8,0
17417,6,0
17517,6,1
17717,4,0
17817,1,0
17917,4,1
18117,5,1
18217,6,0
18317,7,0
18517,7,1
18617,6,0
18717,4,0
18817,3,0
18917,5,1
19217,6,1
19417,5,0
19517,6,0
19617,6,0
19717,7,1
19818,6,0
20118,4,1
20218,1,1
20418,6,0
20518,4,0
20718,6,0
20918,3,1
21118,2,1
21228,5,0
21318,6,1
21518,7,0
21618,7,1
21918,6,1
22018,6,0
22138,2,1
22318,5,1
22418,4,1
22518,6,1
22718,5,1
22918,5,0
22919,5,0
23019,6,0
23119,3,0
23219,5,1
23429,2,1
23519,6,1
23619,7,0
23719,3,0
23819,5,1
23919,5,0
24119,4,0
24319,6,1
24419,5,1
24519,5,1
24819,5,1
24919,4,1
25119,3,1
25219,4,1
25419,5,0
25519,3,1
25619,5,0
25810,2,1
25910,5,0
26010,2,1
26110,6,0
26610,7,0
26910,6,0
27210,9,1
27310,7,0
27410,3,1
27510,7,0
27810,6,0
28010,6,0
28310,9,1
28410,7,0
28520,6,0
28710,5,0
29210,9,0
29810,4,0
30010,4,0
30510,8,0
30810,5,0
30910,4,0
31010,5,0
31110,6,1
32110,5,0
32510,3,0
33210,7,0
33510,9,1
33610,1,1
33910,3,0
34110,5,0
34210,7,0
34320,8,0
34410,5,0
34510,8,1
34620,6,0
34720,9,1
34910,5,0
35010,4,0
35220,6,0
35310,6,0
35410,4,1
35510,1,1
35610,7,1
36110,7,1
36510,5,0
36710,8,0
36910,4,1
37320,8,0
37410,3,1
37810,5,0
37910,8,1
38210,6,0
38310,7,0
38610,4,0
38910,8,1
39010,7,1
39810,5,1
40210,3,1
40510,5,0
40810,1,1
41010,5,1
41110,4,1
41410,6,1
41510,6,1
41910,5,0
42110,1,1
42310,4,1
42410,6,0
42510,4,0
42610,5,0
42710,5,1
42810,7,0
42910,4,0
43010,5,1
43110,7,0
43410,2,0
43710,5,0
43918,9,1
44310,7,0
44510,3,1
49815,7,0
50210,3,1
50310,4,1
